old_index,city_name,tdate,hr,order_id,driver_id,starting_lng,starting_lat,start_poi,dest_lng,dest_lat,dest_poi,begin_time,finish_time,travel_distance,travel_time,strive_time,rnd,newdistance
175943,成都市,20160312,9,b93cd819,6a253d0e,104.071849,30.67098,商务楼宇,104.07905,30.658122,购物,2016-03-12 09:03:30,2016-03-12 09:16:27,3.8,12,2016-03-12 08:56:21,0.0738486499179056,2499.816
250167,成都市,20160906,7,147a6bec,67e590a7,104.082383,30.674787,商务楼宇,104.073186,30.702138,公交地铁,2016-09-06 07:31:12,2016-09-06 07:54:18,5.5,23,2016-09-06 07:27:25,0.105022701509256,4936.665
301407,成都市,20161013,8,b7d740de,bd075ce7,104.09288,30.67091,生活服务,104.08271,30.66907,商务楼宇,2016-10-13 08:33:17,2016-10-13 08:42:13,2.8,8,2016-10-13 08:27:15,0.126626475927214,1455.012
479193,成都市,20160620,8,3ce23057,a1d088fa,104.083237,30.690586,住宅小区,104.073185,30.702137,公交地铁,2016-06-20 08:59:38,2016-06-20 09:14:50,3.8,15,2016-06-20 08:51:01,0.200870232755527,2965.0059999999994
208460,成都市,20160530,7,fc9be312,1d50129c,104.073678,30.679565,住宅小区,104.052744,30.624894,医院,2016-05-30 07:13:06,2016-05-30 07:25:48,4.9,12,2016-05-30 07:10:56,0.0874741304159155,7727.745
192960,成都市,20151113,8,b657b00f,593b2a08,104.068895,30.68401,住宅小区,104.0197,30.689,餐饮,2015-11-13 08:15:54,2015-11-13 08:40:34,6.4,24,2015-11-13 08:10:55,0.0809447507208766,5676.071
227531,成都市,20161024,8,a86f16c6,f168a52f,104.089264,30.689548,酒店宾馆,104.07605,30.65998,商务楼宇,2016-10-24 08:51:22,2016-10-24 09:09:26,5.0,18,2016-10-24 08:47:10,0.0955169877802572,4375.260999999999
456589,成都市,20160824,7,b9ac7c64,73086533,104.08495,30.68523,商务楼宇,104.06726,30.66543,地名地址,2016-08-24 07:59:19,2016-08-24 08:14:02,3.7,14,2016-08-24 07:53:42,0.191426061371926,3033.005
108892,成都市,20160320,8,44ba53d2,77066e65,104.082489,30.686609,住宅小区,104.105953,30.686238,住宅小区,2016-03-20 08:25:00,2016-03-20 08:38:03,5.9,13,2016-03-20 08:21:19,0.0457018502763258,2999.6420000000007
318941,成都市,20160516,7,c70a712c,9aee51d5,104.07621,30.675812,住宅小区,104.053201,30.697976,学校,2016-05-16 07:21:13,2016-05-16 07:34:05,4.6,12,2016-05-16 07:13:57,0.134074215752864,3831.417
354024,成都市,20160805,9,2e2b1ff0,694920e,104.08095,30.67166,住宅小区,104.052411,30.667199,医院,2016-08-05 09:29:43,2016-08-05 09:48:14,3.6,18,2016-08-05 09:24:48,0.148715278395219,3678.225999999999
104034,成都市,20160711,8,5f11d7b8,b7e6a74f,104.07316,30.68476,商务楼宇,104.04865,30.68345,商务楼宇,2016-07-11 08:11:32,2016-07-11 08:25:15,3.1,13,2016-07-11 08:03:36,0.0436052990490772,2590.463
8623,成都市,20151119,7,a1c9f542,6732fa23,104.078553,30.683985,地名地址,104.090089,30.659748,住宅小区,2015-11-19 07:31:36,2015-11-19 07:46:49,3.7,15,2015-11-19 07:23:14,0.0036415520616869,4458.985000000001
96877,成都市,20160319,9,b695d569,ddc1d817,104.087143,30.67737,休闲娱乐,104.052744,30.624894,医院,2016-03-19 09:19:12,2016-03-19 09:49:55,7.6,30,2016-03-19 09:13:15,0.0405543408618588,8070.807999999998
269709,成都市,20160305,8,f4311308,d08df561,104.082343,30.681487,住宅小区,104.083426,30.636097,公交地铁,2016-03-05 08:23:00,2016-03-05 08:43:23,7.6,20,2016-03-05 08:20:21,0.113210928052446,6950.544
65598,成都市,20160729,7,a8bdae9b,6a9bc4e7,104.072,30.679,酒店宾馆,104.048503,30.666635,住宅小区,2016-07-29 07:45:17,2016-07-29 08:02:42,4.3,17,2016-07-29 07:40:09,0.0274700912261637,3768.976
235092,成都市,20160120,8,37209972,4372b82a,104.080133,30.672367,住宅小区,104.053511,30.659979,学校,2016-01-20 08:17:16,2016-01-20 08:34:11,4.3,16,2016-01-20 08:09:31,0.0986261480055588,3790.641
471359,成都市,20160325,8,ebe3b403,6280397,104.080306,30.670339,医院,104.065729,30.683373,住宅小区,2016-03-25 08:25:28,2016-03-25 08:37:48,2.8,12,2016-03-25 08:14:22,0.197567139065859,2792.136
409202,成都市,20151217,8,28c831a8,ba8b1d08,104.089539,30.685866,住宅小区,104.055317,30.657463,公交地铁,2015-12-17 08:37:33,2015-12-17 09:02:30,6.3,24,2015-12-17 08:28:58,0.171772460289191,5438.938
188257,成都市,20160614,9,69dd0b4a,c6a3aa87,104.08324,30.68997,住宅小区,104.04223,30.66652,医院,2016-06-14 09:01:25,2016-06-14 09:17:48,6.8,16,2016-06-14 08:55:17,0.078977940909444,6560.261
