latitude,longitude,district,TPU_NUMBER,Average_Property_Rent,Total Demand Count,Hour,Total_Capacity,type,id,tpu_id
22.2860260009766,114.158569335938,CENTRAL AND WESTERN,121,3750.0,2815,0,1291.0,0,0,0
22.26237,114.130487,SOUTHERN,171,2700.0,408,0,352.0,0,1,1
22.2789,114.2382,EASTERN,162,3150.0,47,0,362.0,0,2,2
22.2742805480957,114.171257019043,WAN CHAI,131,3633.33333333333,2230,0,849.0,0,3,3
22.2359619140625,114.197891235352,SOUTHERN,192,3598.5905639550456,188,0,37.0,0,4,4
22.2778816223145,114.166595458984,CENTRAL AND WESTERN,124,3566.66666666666,2570,0,1199.0,0,5,5
22.2654590606689,114.251121520996,EASTERN,167,3100.0,0,0,66.0,0,6,6
22.23648461692028,114.166980273086,SOUTHERN,176,3598.5905639550456,208,0,610.0,0,7,7
22.26017556941525,114.1315212551299,SOUTHERN,171,2700.0,484,0,352.0,0,8,1
22.2471405141445,114.1664598804583,SOUTHERN,175,3598.5905639550456,264,0,618.0,0,9,8
22.2200450897217,114.210319519043,SOUTHERN,195,3598.5905639550456,68,0,70.0,0,10,9
22.2865810394287,114.218032836914,EASTERN,157,3226.66666666666,397,0,457.0,0,11,10
22.2628288269043,114.236206054688,EASTERN,165,3150.0,0,0,211.0,0,12,11
22.278748,114.166579,CENTRAL AND WESTERN,124,3566.66666666666,2632,0,1325.0,0,13,5
22.28262739843464,114.1727298802296,WAN CHAI,134,3633.33333333333,3374,0,1307.0,0,14,12
22.2478260026628,114.1659179636779,SOUTHERN,175,3598.5905639550456,280,0,618.0,0,15,8
22.29361917995325,114.2025987917562,EASTERN,153,3461.90476190476,499,0,506.0,0,16,13
22.28843519645726,114.1924726165123,EASTERN,151,3800.0,1772,0,802.0,0,17,14
22.244485,114.164745,SOUTHERN,175,3598.5905639550456,286,0,618.0,0,18,8
22.27929,114.16147,CENTRAL AND WESTERN,124,3566.66666666666,2441,0,898.0,0,19,5
22.28447,114.18222,WAN CHAI,147,3425.0,2867,0,1128.0,0,20,15
22.251074,114.149836,SOUTHERN,173,3598.5905639550456,380,0,350.0,0,21,16
22.2625098,114.133536,SOUTHERN,171,2700.0,559,0,359.0,0,22,1
22.2793785,114.186924,WAN CHAI,146,3640.0,1776,0,763.0,0,23,17
22.2761253,114.172339,WAN CHAI,131,3633.33333333333,2185,0,849.0,0,24,3
22.2787254,114.160665,CENTRAL AND WESTERN,124,3566.66666666666,2411,0,896.0,0,25,5
22.2806835174561,114.17529296875,WAN CHAI,135,3633.33333333333,2276,0,1313.0,0,26,18
22.247793,114.162996,SOUTHERN,175,3598.5905639550456,381,0,618.0,0,27,8
22.24589,114.17801,SOUTHERN,176,3598.5905639550456,225,0,558.0,0,28,7
22.29132,114.204303,EASTERN,153,3200.0,397,0,511.0,0,29,13
22.248087,114.175476,SOUTHERN,176,3598.5905639550456,213,0,600.0,0,30,7
22.279831,114.179712,WAN CHAI,133,3425.0,1834,0,1168.0,0,31,19
22.280244,114.174849,WAN CHAI,135,3633.33333333333,2279,0,1278.0,0,32,18
22.2803668,114.173916,WAN CHAI,134,3633.33333333333,2570,0,1278.0,0,33,12
22.27418140181887,114.1613578854748,CENTRAL AND WESTERN,143,3566.66666666666,2303,0,860.0,0,34,20
22.26649236932694,114.2460170950272,EASTERN,163,3100.0,0,0,70.0,0,35,21
